"gene_id","chromosome","gene_entrez_id","gene_symbol","gene_name"
"500700086","1",114641,"Rpl31","ribosomal protein L31"
"500700087","1",54610,"Tbc1d8","TBC1 domain family, member 8"
"500700090","1",52846,"Cnot11","CCR4-NOT transcription complex, subunit 11"
"500700091","1",100217461,"Snord89","small nucleolar RNA, C/D box 89"
"500700093","1",67702,"Rnf149","ring finger protein 149"
"500700095","1",263764,"Creg2","cellular repressor of E1A-stimulated genes 2"
"500700096","1",425051,"D930019O06Rik","RIKEN cDNA D930019O06"
"500700097","1",619289,"Rfx8","regulatory factor X 8"
"500700101","1",26921,"Map4k4","mitogen-activated protein kinase kinase kinase kinase 4"
"500700103","1",16178,"Il1r2","interleukin 1 receptor, type II"
"500700105","1",16177,"Il1r1","interleukin 1 receptor, type I"
"500700106","1",107527,"Il1rl2","interleukin 1 receptor-like 2"
"500700108","1",17082,"Il1rl1","interleukin 1 receptor-like 1"
"500700109","1",16182,"Il18r1","interleukin 18 receptor 1"
"500700114","1",226999,"Slc9a2","solute carrier family 9 (sodium/hydrogen exchanger), member 2"
"500700116","1",211798,"Mfsd9","major facilitator superfamily domain containing 9"
"500700119","1",74897,"4930448I06Rik","RIKEN cDNA 4930448I06 gene"
"500700130","1",66297,"Pantr1","POU domain, class 3, transcription factor 3 adjacent noncoding transcript 1"
"500700132","1",18993,"Pou3f3","POU domain, class 3, transcription factor 3"
"500700133","1",73100,"2900092D14Rik","RIKEN cDNA 2900092D14 gene"
"500700134","1",66620,"Pantr2","POU domain, class 3, transcription factor 3 adjacent noncoding transcript 2"
"500700135","1",69527,"Mrps9","mitochondrial ribosomal protein S9"
"500700137","1",93690,"Gpr45","G protein-coupled receptor 45"
"500700139","1",73122,"Tgfbrap1","transforming growth factor, beta receptor associated protein 1"
"500700141","1",98404,"AI597479","expressed sequence AI597479"
"500700142","1",14200,"Fhl2","four and a half LIM domains 2"
"500700146","1",17974,"Nck2","non-catalytic region of tyrosine kinase adaptor protein 2"
"500700149","1",78896,"1500015O10Rik","RIKEN cDNA 1500015O10 gene"
"500700151","1",67883,"Uxs1","UDP-glucuronate decarboxylase 1"
"500700155","1",22019,"Tpp2","tripeptidyl peptidase II"
"500700156","1",433294,"Mettl21c","methyltransferase like 21C"
"500700157","1",102636082,"Ccdc168","coiled-coil domain containing 168"
"500700158","1",75623,"Tex30","testis expressed 30"
"500700159","1",72050,"Kdelc1","KDEL (Lys-Asp-Glu-Leu) containing 1"
"500700160","1",246229,"Bivm","basic, immunoglobulin-like variable motif containing"
"500700161","1",22592,"Ercc5","excision repair cross-complementing rodent repair deficiency, complementation group 5"
"500700162","1",403183,"Mettl21e","methyltransferase like 21E"
"500700166","1",22167,"Txn-ps1","thioredoxin, pseudogene 1"
"500700168","1",70676,"Gulp1","GULP, engulfment adaptor PTB domain containing 1"
"500700175","1",12825,"Col3a1","collagen, type III, alpha 1"
"500700183","1",73674,"Wdr75","WD repeat domain 75"
"500700187","1",53945,"Slc40a1","solute carrier family 40 (iron-regulated transporter), member 1"
"500700189","1",227054,"Rpl23a-ps1","ribosomal protein 23A, pseudogene 1"
"500700193","1",227058,"Dnah7b","dynein, axonemal, heavy chain 7B"
"500700196","1",100101919,"Dnah7c","dynein, axonemal, heavy chain 7C"
"500700197","1",227059,"Slc39a10","solute carrier family 39 (zinc transporter), member 10"
"500700211","1",442837,"C230029F24Rik","RIKEN cDNA C230029F24 gene"
"500700219","1",56363,"Tmeff2","transmembrane protein with EGF-like and two follistatin-like domains 2"
"500700221","1",442821,"9330175M20Rik","RIKEN cDNA 9330175M20 gene"
"500700222","1",20324,"Sdpr","serum deprivation response"
"500700224","1",109019,"Nabp1","nucleic acid binding protein 1"
"500700227","1",17912,"Myo1b","myosin IB"
"500700231","1",20849,"Stat4","signal transducer and activator of transcription 4"
"500700234","1",20846,"Stat1","signal transducer and activator of transcription 1"
"500700236","1",14660,"Gls","glutaminase"
"500700240","1",17936,"Nab1","Ngfi-A binding protein 1"
"500700243","1",100042094,"Rps27a-ps1","ribosomal protein S27A, pseudogene 1"
"500700244","1",227094,"Tmem194b","transmembrane protein 194B"
"500700247","1",98682,"Mfsd6","major facilitator superfamily domain containing 6"
"500700249","1",16329,"Inpp1","inositol polyphosphate-1-phosphatase"
"500700250","1",227095,"Hibch","3-hydroxyisobutyryl-Coenzyme A hydrolase"
"500700252","1",67080,"1700019D03Rik","RIKEN cDNA 1700019D03 gene"
"500700253","1",17700,"Mstn","myostatin"
"500700254","1",69397,"1700019A02Rik","RIKEN cDNA 1700019A02 gene"
"500700255","1",227099,"Pms1","postmeiotic segregation increased 1 (S. cerevisiae)"
"500700257","1",227102,"Ormdl1","ORM1-like 1 (S. cerevisiae)"
"500700258","1",72085,"Osgepl1","O-sialoglycoprotein endopeptidase-like 1"
"500700260","1",70396,"Asnsd1","asparagine synthetase domain containing 1"
"500700262","1",627872,"Dnah7a","dynein, axonemal, heavy chain 7A"
"500700264","1",98267,"Stk17b","serine/threonine kinase 17b (apoptosis-inducing)"
"500700265","1",329152,"Hecw2","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
"500700266","1",102465783,"Mir7681","microRNA 7681"
"500700267","1",78016,"Ccdc150","coiled-coil domain containing 150"
"500700268","1",98488,"Gtf3c3","general transcription factor IIIC, polypeptide 3"
"500700270","1",241062,"Pgap1","post-GPI attachment to proteins 1"
"500700272","1",329154,"Ankrd44","ankyrin repeat domain 44"
"500700273","1",73980,"4930444A19Rik","RIKEN cDNA 4930444A19 gene"
"500700274","1",81898,"Sf3b1","splicing factor 3b, subunit 1"
"500700275","1",67876,"Coq10b","coenzyme Q10 homolog B (S. cerevisiae)"
"500700277","1",15510,"Hspd1","heat shock protein 1 (chaperonin)"
"500700278","1",15528,"Hspe1","heat shock protein 1 (chaperonin 10)"
"500700281","1",19070,"Mob4","MOB family member 4, phocein"
"500700283","1",74013,"Rftn2","raftlin family member 2"
"500700286","1",212679,"Mars2","methionine-tRNA synthetase 2 (mitochondrial)"
"500700287","1",75388,"Boll","bol, boule-like (Drosophila)"
"500700291","1",227120,"Plcl1","phospholipase C-like 1"
"500700295","1",329159,"9130227L01Rik","RIKEN cDNA 9130227L01 gene"
"500700298","1",212712,"Satb2","special AT-rich sequence binding protein 2"
"500700304","1",75323,"4930558J18Rik","RIKEN cDNA 4930558J18 gene"
"500700305","1",73467,"1700066M21Rik","RIKEN cDNA 1700066M21 gene"
"500700306","1",68736,"Tyw5","tRNA-yW synthesizing protein 5"
"500700307","1",68115,"9430016H08Rik","RIKEN cDNA 9430016H08 gene"
"500700310","1",67198,"Spats2l","spermatogenesis associated, serine-rich 2-like"
"500700311","1",51960,"Kctd18","potassium channel tetramerisation domain containing 18"
"500700312","1",68549,"Sgol2a","shugoshin-like 2 (S. pombe)"
"500700313","1",11761,"Aox1","aldehyde oxidase 1"
"500700316","1",71872,"Aox4","aldehyde oxidase 4"
"500700321","1",66882,"Bzw1","basic leucine zipper and W2 domains 1"
"500700322","1",12747,"Clk1","CDC-like kinase 1"
"500700323","1",70225,"Ppil3","peptidylprolyl isomerase (cyclophilin)-like 3"
"500700324","1",65102,"Nif3l1","Ngg1 interacting factor 3-like 1 (S. pombe)"
"500700325","1",18393,"Orc2","origin recognition complex, subunit 2"
"500700327","1",213056,"Fam126b","family with sequence similarity 126, member B"
"500700328","1",66495,"Ndufb3","NADH dehydrogenase (ubiquinone) 1 beta subcomplex 3"
"500700332","1",108812,"Als2cr12","amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 12 (human)"
"500700333","1",12633,"Cflar","CASP8 and FADD-like apoptosis regulator"
"500700336","1",12370,"Casp8","caspase 8"
"500700338","1",70827,"Trak2","trafficking protein, kinesin binding 2"
"500700339","1",227154,"Stradb","STE20-related kinase adaptor beta"
"500700343","1",381259,"Tmem237","transmembrane protein 237"
"500700344","1",227157,"Mpp4","membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4)"
"500700346","1",74018,"Als2","amyotrophic lateral sclerosis 2 (juvenile)"
"500700349","1",271697,"Cdk15","cyclin-dependent kinase 15"
"500700352","1",14369,"Fzd7","frizzled homolog 7 (Drosophila)"
"500700358","1",22218,"Sumo1","SMT3 suppressor of mif two 3 homolog 1 (yeast)"
"500700359","1",55989,"Nop58","NOP58 ribonucleoprotein"
"500700360","1",100217459,"Snord70","small nucleolar RNA, C/D box 70"
"500700362","1",12168,"Bmpr2","bone morphogenetic protein receptor, type II (serine/threonine kinase)"
"500700363","1",72750,"Fam117b","family with sequence similarity 117, member B"
"500700365","1",70375,"Ica1l","islet cell autoantigen 1-like"
"500700366","1",57750,"Wdr12","WD repeat domain 12"
"500700367","1",241066,"Carf","calcium response factor"
"500700369","1",269198,"Nbeal1","neurobeachin like 1"
"500700370","1",77951,"Cyp20a1","cytochrome P450, family 20, subfamily a, polypeptide 1"
"500700371","1",329165,"Abi2","abl-interactor 2"
"500700372","1",77300,"Raph1","Ras association (RalGDS/AF-6) and pleckstrin homology domains 1"
"500700376","1",13674,"Eif4a-ps4","eukaryotic translation initiation factor 4A, pseudogene 4"
"500700377","1",12487,"Cd28","CD28 antigen"
"500700383","1",667100,"Rpl18-ps1","ribosomal protein L18, pseudogene 1"
"500700387","1",54167,"Icos","inducible T cell co-stimulator"
"500700388","1",433313,"Rpl17-ps1","ribosomal protein L17, pseudogene 1"
"500700391","1",77341,"9530026F06Rik","RIKEN cDNA 9530026F06 gene"
"500700392","1",72823,"Pard3b","par-3 family cell polarity regulator beta"
"500700394","1",74661,"Pard3bos1","par-3 family cell polarity regulator beta, opposite strand 1"
"500700398","1",18187,"Nrp2","neuropilin 2"
"500700400","1",74992,"4930487H11Rik","RIKEN cDNA 4930487H11 gene"
"500700406","1",227195,"Ino80d","INO80 complex subunit D"
"500700407","1",100462728,"Rps27-ps1","ribosomal protein S27, pseudogene 1"
"500700408","1",100380944,"Ino80dos","INO80 complex subunit D, opposite strand"
"500700409","1",227197,"Ndufs1","NADH dehydrogenase (ubiquinone) Fe-S protein 1"
"500700410","1",55949,"Eef1b2","eukaryotic translation elongation factor 1 beta 2"
"500700411","1",100217464,"Snora41","small nucleolar RNA, H/ACA box 41"
"500700412","1",241070,"Gpr1","G protein-coupled receptor 1"
"500700413","1",73884,"Zdbf2","zinc finger, DBF-type containing 2"
"500700414","1",73346,"1700039I01Rik","RIKEN cDNA 1700039I01 gene"
"500700419","1",23792,"Adam23","a disintegrin and metallopeptidase domain 23"
"500700421","1",241073,"Dytn","dystrotelin"
"500700422","1",76668,"Mdh1b","malate dehydrogenase 1B, NAD (soluble)"
"500700423","1",75619,"Fastkd2","FAST kinase domains 2"
"500700424","1",74426,"4933402D24Rik","RIKEN cDNA 4933402D24 gene"
"500700428","1",93691,"Klf7","Kruppel-like factor 7 (ubiquitous)"
"500700438","1",12912,"Creb1","cAMP responsive element binding protein 1"
"500700439","1",67099,"Mettl21a","methyltransferase like 21A"
"500700441","1",69941,"2810408I11Rik","RIKEN cDNA 2810408I11 gene"
"500700442","1",227210,"Ccnyl1","cyclin Y-like 1"
"500700443","1",14367,"Fzd5","frizzled homolog 5 (Drosophila)"
"500700445","1",241075,"Plekhm3","pleckstrin homology domain containing, family M, member 3"
"500700447","1",667245,"Rpl31-ps24","ribosomal protein L31, pseudogene 24"
"500700448","1",100043141,"Rpl10a-ps1","ribosomal protein L10A, pseudogene 1"
"500700449","1",70861,"Akr1cl","aldo-keto reductase family 1, member C-like"
"500700456","1",12964,"Cryga","crystallin, gamma A"
"500700457","1",98303,"D630023F18Rik","RIKEN cDNA D630023F18 gene"
"500700459","1",15926,"Idh1","isocitrate dehydrogenase 1 (NADP+), soluble"
"500700460","1",18711,"Pikfyve","phosphoinositide kinase, FYVE finger containing"
"500700461","1",213527,"Pth2r","parathyroid hormone 2 receptor"
"500700465","1",12969,"Crygf","crystallin, gamma F"
"500700468","1",17756,"Map2","microtubule-associated protein 2"
"500700470","1",329178,"Unc80","unc-80 homolog (C. elegans)"
"500700472","1",66646,"Rpe","ribulose-5-phosphate-3-epimerase"
"500700473","1",68691,"Kansl1l","KAT8 regulatory NSL complex subunit 1-like"
"500700476","1",11363,"Acadl","acyl-Coenzyme A dehydrogenase, long-chain"
"500700479","1",17901,"Myl1","myosin, light polypeptide 1"
"500700480","1",100043192,"Rpl31-ps14","ribosomal protein L31, pseudogene 14"
"500700482","1",14768,"Lancl1","LanC (bacterial lantibiotic synthetase component C)-like 1"
"500700485","1",110032,"Kif22-ps","kinesin family member 22, pseudogene"
"500700487","1",13869,"Erbb4","v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)"
"500700491","1",22779,"Ikzf2","IKAROS family zinc finger 2"
"500700493","1",66722,"Spag16","sperm associated antigen 16"
"500700495","1",320460,"Vwc2l","von Willebrand factor C domain-containing protein 2-like"
"500700498","1",12021,"Bard1","BRCA1 associated RING domain 1"
"500700503","1",108147,"Atic","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase"
"500700504","1",14268,"Fn1","fibronectin 1"
"500700518","1",381269,"Mreg","melanoregulin"
"500700519","1",320933,"D230017M19Rik","RIKEN cDNA D230017M19 gene"
"500700520","1",111175,"Pecr","peroxisomal trans-2-enoyl-CoA reductase"
"500700521","1",271711,"Tmem169","transmembrane protein 169"
"500700522","1",22596,"Xrcc5","X-ray repair complementing defective repair in Chinese hamster cells 5"
"500700524","1",381270,"March4","membrane-associated ring finger (C3HC4) 4"
"500700526","1",54380,"Smarcal1","SWI/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1"
"500700528","1",319695,"Ankar","ankyrin and armadillo repeat containing"
"500700530","1",19981,"Rpl37a","ribosomal protein L37a"
"500700534","1",16008,"Igfbp2","insulin-like growth factor binding protein 2"
"500700535","1",16011,"Igfbp5","insulin-like growth factor binding protein 5"
"500700553","1",21961,"Tns1","tensin 1"
"500700557","1",12765,"Cxcr2","chemokine (C-X-C motif) receptor 2"
"500700561","1",76709,"Arpc2","actin related protein 2/3 complex, subunit 2"
"500700562","1",227289,"Gpbar1","G protein-coupled bile acid receptor 1"
"500700563","1",227290,"Aamp","angio-associated migratory protein"
"500700564","1",56695,"Pnkd","paroxysmal nonkinesiogenic dyskinesia"
"500700565","1",69660,"Tmbim1","transmembrane BAX inhibitor motif containing 1"
"500700567","1",18173,"Slc11a1","solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1"
"500700568","1",227292,"Ctdsp1","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1"
"500700570","1",22349,"Vil1","villin 1"
"500700571","1",319651,"Usp37","ubiquitin specific peptidase 37"
"500700572","1",58184,"Rqcd1","rcd1 (required for cell differentiation) homolog 1 (S. pombe)"
"500700573","1",18802,"Plcd4","phospholipase C, delta 4"
"500700574","1",77264,"Zfp142","zinc finger protein 142"
"500700575","1",66821,"Bcs1l","BCS1-like (yeast)"
"500700576","1",57751,"Rnf25","ring finger protein 25"
"500700577","1",269209,"Stk36","serine/threonine kinase 36"
"500700578","1",67534,"Ttll4","tubulin tyrosine ligase-like family, member 4"
"500700579","1",104086,"Cyp27a1","cytochrome P450, family 27, subfamily a, polypeptide 1"
"500700580","1",241113,"Prkag3","protein kinase, AMP-activated, gamma 3 non-catatlytic subunit"
"500700581","1",22420,"Wnt6","wingless-type MMTV integration site family, member 6"
"500700584","1",22409,"Wnt10a","wingless-type MMTV integration site family, member 10A"
"500700587","1",12570,"Cdk5r2","cyclin-dependent kinase 5, regulatory subunit 2 (p39)"
"500700588","1",260298,"Fev","FEV (ETS oncogene family)"
"500700591","1",241116,"Ccdc108","coiled-coil domain containing 108"
"500700592","1",16147,"Ihh","Indian hedgehog"
"500700593","1",75570,"Nhej1","nonhomologous end-joining factor 1"
"500700594","1",22626,"Slc23a3","solute carrier family 23 (nucleobase transporters), member 3"
"500700595","1",69171,"Cnppd1","cyclin Pas1/PHO80 domain containing 1"
"500700596","1",227298,"Fam134a","family with sequence similarity 134, member A"
"500700597","1",68818,"Zfand2b","zinc finger, AN1 type domain 2B"
"500700598","1",74104,"Abcb6","ATP-binding cassette, sub-family B (MDR/TAP), member 6"
"500700599","1",245860,"Atg9a","autophagy related 9A"
"500700600","1",52231,"Ankzf1","ankyrin repeat and zinc finger domain containing 1"
"500700601","1",74577,"Glb1l","galactosidase, beta 1-like"
"500700602","1",20872,"Stk16","serine/threonine kinase 16"
"500700603","1",22145,"Tuba4a","tubulin, alpha 4A"
"500700604","1",381272,"A630095N17Rik","RIKEN cDNA A630095N17 gene"
"500700605","1",56812,"Dnajb2","DnaJ (Hsp40) homolog, subfamily B, member 2"
"500700606","1",19275,"Ptprn","protein tyrosine phosphatase, receptor type, N"
"500700607","1",19711,"Resp18","regulated endocrine-specific protein 18"
"500700608","1",13437,"Dnpep","aspartyl aminopeptidase"
"500700611","1",11790,"Speg","SPEG complex locus"
"500700613","1",241118,"Asic4","acid-sensing (proton-gated) ion channel family member 4"
"500700615","1",74241,"Chpf","chondroitin polymerizing factor"
"500700616","1",319998,"Tmem198","transmembrane protein 198"
"500700617","1",98733,"Obsl1","obscurin-like 1"
"500700618","1",16322,"Inha","inhibin alpha"
"500700619","1",71728,"Stk11ip","serine/threonine kinase 11 interacting protein"
"500700620","1",20536,"Slc4a3","solute carrier family 4 (anion exchanger), member 3"
